GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,KDLE001,KDLE002,KDLE003,KDLE004,KDLE005,KDLE006,KDLE007,KDLE008,KDLE009,KDLE010,KDLE011,KDLE012,KDLE013,KDLE014,KDLE015,KDLE016,KDLE017,KDLE018,KDLE019,KDLE020,KDLE021,KDLE022,KDLE023,KDLE024,KDLE025,KDLE026,KDLE027,KDLE028,KDLE029,KDLE030,KDLE031,KDLE032,KDLE033,KDLE034,KDLE035,KDLE036,KDLE037,KDLE038,KDLE039,KDLE040,KDLE041,KDLE042,KDLE043,KDLE044,KDLE045,KDLE046,KDLE047,KDLE048,KDLE049,KDLE050,KDLE051,KDLE052,KDLE053,KDLE054,KDLE055,KDLE056,KDLE057,KDLE058,KDLE059,KDLE060,KDLE061,KDLE062,KDLE063,KDLE064,KDLE065,KDLE066,KDLE067,KDLE068,KDLE069,KDLE070,KDLE071,KDLE072,KDLE073,KDLE074,KDLE075,KDLE076,KDLE077,KDLE078,KDLE079,KDLE080,KDLE081,KDLE082,KDLE083,KDLE084,KDLE085,KDLE086,KDLE087,KDLE088,KDLE089,KDLE090,KDLE091,KDLE092,KDLE093,KDLE094,KDLE095,KDLE096,KDLE097,KDLE098,KDLE099,KDLE100,KDLE101,KDLE102,KDLE103,KDLE104,KDLE105,KDLE106,KDLE107,KDLE108,NAME_M,KDLM001,KDLM002,KDLM003,KDLM004,KDLM005,KDLM006,KDLM007,KDLM008,KDLM009,KDLM010,KDLM011,KDLM012,KDLM013,KDLM014,KDLM015,KDLM016,KDLM017,KDLM018,KDLM019,KDLM020,KDLM021,KDLM022,KDLM023,KDLM024,KDLM025,KDLM026,KDLM027,KDLM028,KDLM029,KDLM030,KDLM031,KDLM032,KDLM033,KDLM034,KDLM035,KDLM036,KDLM037,KDLM038,KDLM039,KDLM040,KDLM041,KDLM042,KDLM043,KDLM044,KDLM045,KDLM046,KDLM047,KDLM048,KDLM049,KDLM050,KDLM051,KDLM052,KDLM053,KDLM054,KDLM055,KDLM056,KDLM057,KDLM058,KDLM059,KDLM060,KDLM061,KDLM062,KDLM063,KDLM064,KDLM065,KDLM066,KDLM067,KDLM068,KDLM069,KDLM070,KDLM071,KDLM072,KDLM073,KDLM074,KDLM075,KDLM076,KDLM077,KDLM078,KDLM079,KDLM080,KDLM081,KDLM082,KDLM083,KDLM084,KDLM085,KDLM086,KDLM087,KDLM088,KDLM089,KDLM090,KDLM091,KDLM092,KDLM093,KDLM094,KDLM095,KDLM096,KDLM097,KDLM098,KDLM099,KDLM100,KDLM101,KDLM102,KDLM103,KDLM104,KDLM105,KDLM106,KDLM107,KDLM108
"G360","2008-2010",,,"New York","36",,,,,,,,,,,,,,,,,,"New York",22696270,11051,50146,941,675446,153821,25346,3056,5746,33935,12826,5303,14281,29290,24038,23835,932,7510,88080,1227,13900,27634,55320,7515,886,50920,587,2284,26704,1787,53464,23741,34678,270215,92574,1146686,3441,162597,16893,491218,130025,2208763,479,162755,129655,158346,1480,27803,2553413,36692,2704089,8788,48070,749,8813,7137,1089,10629,85065,13032,999178,51394,55636,472602,12501,76575,221759,9052,9741,36279,5005,438,241378,729,6663,24436,1217,2669,31739,3769,1779,3493,4675,2069,558,842,134128,22612,132360,39154,29071,132438,90084,801041,2152,26148,7366,614,49954,2183,186226,304137,92382,2673,125310,1896,29224,7458455,"New York",29747,2221,5074,286,11999,6687,3102,812,1793,2733,1993,1109,1716,3337,3311,2113,383,981,2572,395,1294,2848,2624,1057,402,2911,218,448,2112,445,2837,2076,2274,6268,4408,10934,614,5966,1268,7112,4466,16399,227,5875,6324,5703,539,2502,18315,3246,16980,1046,2360,275,2140,1281,401,1230,3055,1731,10581,3474,3878,7512,1335,2885,4335,1312,1256,1763,861,212,8299,252,1477,2690,472,938,3699,1227,891,1326,1038,766,268,497,5729,2889,4295,2190,2513,4437,2781,11721,789,1778,1345,220,3287,717,6160,9563,4995,785,5801,727,2446,21043
"G370","2008-2010",,,"North Carolina","37",,,,,,,,,,,,,,,,,,"North Carolina",9786404,856,746,176,1064913,31623,3481,311,1922,10521,1744,2318,2026,6189,3111,4165,171,2106,12038,225,5706,4762,40011,1797,1610,15333,65,1610,4545,201,18816,4908,15015,116333,6596,965874,405,99442,6485,169204,32609,1084184,367,26744,2403,24906,1083,5099,879809,911,289519,1685,9070,140,193,622,502,4525,44962,2627,130862,13087,8392,43403,7650,284036,247962,2275,3217,10580,1828,22,84499,654,3064,1238,1960,2299,6361,130,739,1348,2469,2210,47,104,57516,4360,53705,15535,3459,15848,54062,33720,1405,1073,461,179,793,833,6102,12674,2708,137,7330,25,5243,3759322,"North Carolina",23697,916,326,99,16570,2610,918,210,856,1406,678,912,747,1498,763,967,107,542,1109,137,938,1064,2107,534,541,1583,59,431,689,146,1620,678,1405,4292,869,12843,199,4008,1012,5556,2236,12492,186,2036,878,1672,599,1018,11160,370,6649,457,1137,103,135,316,251,696,2766,455,4457,1651,1519,3173,927,6284,5673,549,633,1173,409,36,5475,551,886,517,872,842,1695,116,480,865,890,950,54,107,4308,1229,2719,1211,862,1696,2975,3542,596,464,259,187,454,607,1508,1822,856,119,1528,40,1247,14848
"G380","2008-2010",,,"North Dakota","38",,,,,,,,,,,,,,,,,,"North Dakota",898943,0,100,24,17932,1401,109,202,18,545,0,0,251,122,154,627,15,135,1155,269,916,110,1336,404,0,1327,3,55,280,0,12623,1401,8311,8895,66,30679,62,2895,3975,27685,11398,309763,740,483,0,2680,2716,5,53647,0,7868,131,231,292,5,0,33,443,200027,194,16323,870,571,24839,9180,4998,8451,154,167,247,78,0,2969,0,70,0,71,123,187,0,0,534,36,82,113,0,1570,183,30862,2286,64,3243,1957,314,9,6,0,0,0,0,23,97,56,18,105,0,1002,77031,"North Dakota",4561,119,114,37,1735,406,170,235,28,205,119,119,146,116,151,583,24,72,323,389,235,101,734,320,119,360,5,45,172,119,1036,298,845,905,71,1795,60,652,465,1855,932,3692,218,222,119,472,400,8,2725,119,1037,120,126,122,8,119,41,195,3692,104,1328,542,272,1543,1099,627,857,75,131,93,65,119,485,119,79,119,66,145,221,119,119,333,37,89,166,119,421,180,1644,373,91,556,520,162,14,9,119,119,119,119,37,72,82,28,96,119,559,1795
"G390","2008-2010",,,"Ohio","39",,,,,,,,,,,,,,,,,,"Ohio",13299960,559,4155,704,866211,67365,4776,1716,2738,30208,1573,5540,5859,9669,5286,4808,328,2147,27121,47,9944,2585,39621,2579,617,15043,1063,1917,41958,63,71702,18480,17234,201610,12003,1083305,690,102069,19016,275543,30596,3170559,497,56780,1636,207113,658,4798,1670304,1582,750112,2423,23750,731,4108,555,281,4381,43603,31555,456852,9492,30229,80705,8096,123014,221760,17003,8573,141538,54056,32,107618,370,6119,2769,1352,859,5099,688,844,12288,1511,306,103,398,70896,4016,78499,76364,5622,47256,133560,17430,556,535,104,180,560,848,2703,9229,648,52,1935,80,12262,2773490,"Ohio",26566,600,1189,248,13740,4384,1141,873,976,2115,566,1413,1019,1569,1132,818,201,676,1710,57,977,848,2042,605,173,1214,331,487,2044,56,2836,1463,1503,5619,1344,12314,243,3886,1600,6087,2345,17048,234,3200,654,4817,249,838,14821,486,10208,486,1693,335,679,384,157,726,2372,3125,7771,1720,2385,3528,943,3413,5312,1653,1021,4398,2827,38,5594,205,1488,955,484,487,1163,493,962,2315,471,277,128,371,4264,1166,2881,3077,1086,2741,3698,2669,359,389,97,142,332,363,1075,1738,276,48,547,69,1578,14682
"G400","2008-2010",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,"Oklahoma",3982864,0,582,0,342237,10551,628,207,625,4640,404,317,1287,1138,1305,828,16,1047,3045,240,1371,825,12036,889,1333,3613,68,311,647,0,17522,3135,8443,79381,730,317359,91,59214,2020,84429,10109,568609,418,5774,47,5388,383,3756,483478,167,63804,379,1609,153,138,132,72,1347,23601,2137,31044,4127,1394,11238,3800,45458,67990,524,669,1606,340,0,15353,234,392,501,662,447,2297,20,0,0,234,777,130,16,8793,850,27352,7178,908,2716,19133,23921,354,36,168,0,113,21026,407,1208,130,0,468,11,597,1594052,"Oklahoma",12907,143,396,143,6387,1478,354,221,398,848,257,249,511,626,486,267,26,316,561,130,304,600,1237,442,571,636,110,147,299,143,1345,531,969,2797,324,5970,75,3353,477,3282,1215,7851,259,1134,51,752,232,1026,7426,90,3108,206,369,101,164,127,73,394,1650,634,2253,817,460,1399,615,2159,2450,397,280,499,165,143,2110,216,347,286,496,365,674,33,143,143,182,993,132,27,1445,416,1972,1049,365,648,1483,1654,239,43,181,143,132,1521,247,621,105,143,260,19,249,10573
"G410","2008-2010",,,"Oregon","41",,,,,,,,,,,,,,,,,,"Oregon",4603217,247,322,276,181144,16215,1951,422,224,4323,463,725,1516,4013,2578,2592,86,1732,11445,2466,5291,1222,21643,2148,505,14883,38,1190,5129,22,21427,4683,43389,93151,4924,497140,581,87032,23154,137665,27780,819899,136,13514,168,13934,1725,4921,491050,819,145540,1616,4974,466,221,251,516,9832,155970,2547,65558,21093,10178,51204,23650,60535,127817,1209,1644,3623,1179,26,16282,80,1620,99,292,299,636,0,39,2183,834,198,0,0,9392,610,117019,30520,1607,22044,41813,3952,96,89,117,0,72,501,858,1287,81,21,742,88,4821,1119822,"Oregon",19351,204,268,129,5262,2433,892,366,180,1216,315,483,586,1342,803,751,71,406,1194,466,640,549,1490,956,268,1213,43,297,838,37,1615,750,2621,3669,878,7278,236,4182,1671,3950,1586,9100,96,1472,141,1733,492,991,7264,323,5238,544,651,180,151,153,204,1020,5071,526,3100,2209,1307,3264,1673,2439,3911,450,459,631,304,43,1977,116,665,95,200,243,316,161,61,1028,519,181,161,161,1670,287,3882,1859,705,3159,2113,799,70,82,178,161,60,209,414,417,74,34,388,104,918,9293
"G420","2008-2010",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,"Pennsylvania",15653064,1417,9695,459,532572,64206,8296,1191,808,18799,3008,2773,15210,7933,6188,10228,394,3213,57688,758,9749,8522,38092,2365,502,13518,2232,1707,49433,531,55962,24201,18799,260120,23284,1039485,1126,86195,9266,235258,30324,3500812,448,65991,3306,141677,835,4909,2258850,3392,1555307,3554,81334,598,1170,851,366,4950,42708,169586,867626,19131,19162,201347,8259,173110,204426,19831,16753,238188,16819,34,85407,307,3555,2014,1470,7397,6541,425,1515,406,1748,492,82,236,54297,4922,109454,69039,5837,115724,185508,64900,626,2424,942,225,1786,350,18172,26044,6363,821,7047,100,12184,2788380,"Pennsylvania",24657,581,1646,145,10091,3799,1478,626,513,1674,773,1042,1720,1505,1295,1042,184,712,2099,349,974,1543,2102,574,181,1547,412,401,2626,288,2631,1486,1567,5658,1726,10334,324,3919,1055,5992,1946,16399,234,3000,761,3814,300,939,15057,808,12860,580,3112,258,352,308,198,937,2377,5331,10535,1752,1474,5323,1129,3716,4044,1412,1244,5401,1179,39,4864,218,1190,686,641,1972,1553,398,686,434,585,250,75,164,3422,1181,3360,2600,877,3728,5277,4993,261,619,755,143,557,235,2954,2777,1514,590,1414,83,1465,14506
"G440","2008-2010",,,"Rhode Island","44",,,,,,,,,,,,,,,,,,"Rhode Island",1362190,0,217,31,22844,8403,488,23,317,3254,161,40,2895,862,363,6963,231,315,1998,0,1115,1525,2673,242,0,5029,0,270,218,0,1264,662,2257,5746,1714,135399,57,3944,1776,131536,48809,62109,72,7933,76,2569,51,549,207448,70,201293,124,4531,0,0,89,95,472,4691,156,42450,100686,754,10740,653,5586,21550,117,41,922,161,0,30996,20680,148,1012,54,2628,1251,312,62,0,108,87,0,0,3636,1018,18573,1140,795,2850,2822,5917,0,686,36,45,211,0,2431,1114,479,115,800,0,229,237642,"Rhode Island",6818,168,168,45,1638,1271,259,37,365,626,143,65,730,473,171,1342,235,173,416,168,373,492,572,216,168,642,168,183,131,168,359,284,664,813,400,4148,47,798,460,4164,2168,2858,118,1123,117,598,47,298,5110,59,3852,66,844,168,168,88,154,279,642,124,2538,4173,194,1259,269,813,1584,83,48,403,163,168,2057,2076,142,661,65,998,648,175,98,168,76,84,168,168,913,532,1863,384,449,502,503,1048,168,527,42,73,130,168,711,414,339,190,470,168,161,3765
"G450","2008-2010",,,"South Carolina","45",,,,,,,,,,,,,,,,,,"South Carolina",4656749,0,918,153,580539,11355,1590,86,785,4521,360,255,1226,1177,1355,1031,119,489,5458,146,2268,2375,16774,882,583,6411,30,676,2496,49,7769,2336,6426,43544,1802,418778,88,38950,4089,88716,14767,468593,117,14274,468,10734,174,1298,443877,801,124488,648,4161,62,193,225,26,1773,16233,2108,61135,5221,3242,14902,3953,124594,94941,1379,1547,5229,1038,21,47028,675,626,156,516,307,629,95,32,259,803,60,39,0,42182,649,21331,8921,1443,6120,22438,11035,771,248,218,231,258,236,1217,4440,1047,52,2244,73,1126,1869835,"South Carolina",14187,168,418,143,11112,1906,655,81,607,803,180,230,459,528,819,320,103,182,688,146,461,725,1392,332,205,946,47,291,542,47,1024,614,796,1987,533,8642,66,2746,773,3703,1409,8743,93,1275,278,1191,125,547,7516,518,4782,289,626,62,124,212,44,477,1459,1008,2973,887,870,1234,705,3532,3561,662,544,639,301,34,3591,480,519,100,339,312,399,153,39,410,315,54,62,168,3334,336,1671,1168,551,1050,1517,1893,475,148,152,200,139,110,529,1143,446,50,678,71,378,9766
"G460","2008-2010",,,"South Dakota","46",,,,,,,,,,,,,,,,,,"South Dakota",1020254,52,0,62,28821,1791,31,125,10,805,40,0,382,207,191,334,0,87,1325,94,1676,114,1096,116,41,438,0,220,659,0,19340,2102,19135,38417,71,56387,62,6016,4012,23633,3939,347191,161,1108,0,1225,221,53,88805,33,9715,143,613,781,60,21,3,534,117918,709,12443,720,203,13093,6412,5777,10199,271,75,245,131,0,4741,0,1061,0,76,105,14,0,0,446,64,903,0,0,1793,279,31492,2826,196,1423,4711,490,0,0,138,0,0,0,25,318,0,2,7,0,1178,144294,"South Dakota",7407,59,127,47,2325,531,35,154,29,391,33,127,150,117,233,337,127,79,410,100,440,90,317,99,35,207,127,152,491,127,1469,367,1440,1995,93,2211,82,957,721,1480,562,4847,137,312,127,315,144,40,2851,33,1259,80,356,191,80,28,5,250,3429,242,1070,258,137,1358,880,676,1062,212,55,169,95,127,831,127,542,127,115,172,21,127,127,366,73,854,127,127,702,325,1876,507,195,555,643,314,127,127,169,127,127,127,45,264,127,4,11,127,705,2714
"G470","2008-2010",,,"Tennessee","47",,,,,,,,,,,,,,,,,,"Tennessee",6298541,369,266,28,1028729,25986,5558,4354,602,4507,121,1480,859,4005,4500,1491,105,998,6282,96,2609,1508,25642,294,1650,5956,76,1051,1656,11,10246,2159,9755,85489,2536,649691,229,60839,3862,116606,15301,664625,190,12109,584,12290,344,3760,719704,1072,135212,595,5500,186,150,117,227,2391,27799,1733,67076,5887,4519,19156,5464,161128,143592,692,1615,4066,878,63,46706,113,4063,164,844,225,2532,47,44,2582,735,1490,33,161,31000,2673,35638,10609,1239,6851,37089,8793,498,218,209,0,197,1945,2100,1951,353,82,1225,15,2865,2084511,"Tennessee",22117,330,214,38,13899,3160,1699,2002,312,1108,83,722,324,1001,1231,458,112,411,954,71,575,610,1928,177,523,721,95,382,328,19,1341,429,1161,3476,565,10669,152,3479,739,4789,1299,9413,117,1268,329,1399,192,1065,11114,619,5268,216,1041,123,132,93,121,603,1770,495,3531,1022,1450,1592,947,4831,4819,241,669,755,367,101,3648,95,1454,126,505,199,873,59,70,1027,337,870,55,168,2984,867,2209,1109,417,1135,2261,1361,274,229,182,165,141,665,854,462,195,79,611,23,691,13067
"G480","2008-2010",,,"Texas","48",,,,,,,,,,,,,,,,,,"Texas",26642107,2480,4552,2806,1310224,102012,8615,4483,6600,34096,2920,6063,8604,17828,12803,5476,372,6345,26186,1783,11508,14488,80229,2553,21858,31706,157,3613,9157,95,213307,23425,52131,237464,10461,1753111,1162,196720,15136,567626,73064,2675691,849,44736,1627,35222,1740,32027,1912292,6541,472888,2356,15089,1218,964,877,1123,10407,131590,5454,272318,28220,14165,82019,23078,288487,382438,3565,3999,10482,4160,26,239572,728,13408,3613,6128,1147,46077,365,866,3081,3049,2537,315,979,147870,9409,159084,32792,10166,19308,103052,65138,1310,1399,4208,656,2236,15662,6651,19553,5580,560,7047,276,10868,14755272,"Texas",33942,991,1661,692,14062,5606,1628,1477,1533,2654,896,1227,1563,2417,1892,926,206,1036,2016,464,1172,1914,3158,542,1828,2426,114,584,1137,72,6469,1756,2715,6166,1142,16689,487,7176,1638,9545,2983,18704,322,2743,499,2526,500,3008,18005,1665,8604,494,1538,360,374,283,473,1151,4753,936,6666,2085,1639,3601,1779,6203,7415,789,690,1036,750,41,8365,501,2454,1192,1404,562,3965,228,693,1365,550,1103,191,402,6432,2696,5146,2151,1689,1822,3463,3550,616,539,1580,624,628,1682,1286,2006,1211,401,1194,186,1734,28685
"G490","2008-2010",,,"Utah","49",,,,,,,,,,,,,,,,,,"Utah",3212182,102,531,33,168500,4944,45,282,228,2011,4,412,248,746,968,1996,0,2018,5534,1408,2076,4621,38210,470,181,9585,0,676,2533,0,7023,2180,153300,66206,1006,720721,366,102496,5180,57907,6167,325328,93,13499,0,4308,3686,1614,167819,249,75870,248,1929,115,45,157,579,5514,65457,233,23268,4407,1902,10703,33874,20223,124580,1601,974,1686,762,0,9872,63,208,310,94,148,345,0,126,1445,577,1130,78,47,4414,887,108407,35385,1194,3206,57844,1600,181,0,50,0,52,53,317,492,92,0,363,0,5778,732203,"Utah",13754,121,394,36,6121,1048,42,299,152,601,7,367,168,300,586,667,154,546,1021,529,600,1289,2734,206,143,1317,154,387,764,154,1240,837,4825,2717,330,9201,453,5315,769,3342,864,7282,110,1653,154,858,862,449,5876,165,3578,228,438,77,55,156,239,848,3260,111,1714,795,608,1116,2483,1918,4409,744,396,496,249,154,1847,72,154,214,105,165,353,154,165,1120,243,907,95,54,1131,561,4229,2224,659,555,3257,485,173,154,47,154,55,65,185,257,126,154,246,154,1193,8021
"G500","2008-2010",,,"Vermont","50",,,,,,,,,,,,,,,,,,"Vermont",769151,17,333,45,39274,2580,48,283,4,1665,34,57,355,120,14,579,9,109,2199,161,520,242,4157,102,130,5966,17,271,194,60,2437,618,2157,10085,1656,111649,22,8972,2049,93608,52118,64793,43,2599,29,2860,76,220,110451,77,46225,298,2243,22,22,30,20,1185,5441,225,25433,3261,777,8803,934,7360,29482,323,236,971,490,0,1652,68,319,11,21,0,32,0,0,381,102,79,20,0,450,169,10411,2126,308,1950,7163,580,0,8,23,0,0,0,93,282,28,0,146,0,1686,86010,"Vermont",5802,21,244,39,2051,709,51,413,6,382,34,47,208,99,15,210,9,101,458,130,186,143,555,69,108,741,26,163,91,78,470,201,392,955,390,2498,17,1104,382,2502,2506,2407,56,439,32,461,63,155,3032,67,2033,173,454,28,37,39,23,322,725,109,1509,519,279,943,279,745,1738,262,120,283,237,123,425,56,278,17,25,123,51,123,123,196,66,111,29,123,180,172,1007,376,239,434,834,220,123,13,38,123,123,123,85,151,21,123,149,123,766,2459
"G510","2008-2010",,,"Virginia","51",,,,,,,,,,,,,,,,,,"Virginia",8668148,12897,2830,310,838013,56010,7346,1993,1254,15376,5528,2424,2899,9705,9485,5699,379,2491,16612,228,5166,5145,49073,1665,1126,15358,97,1749,6304,209,24231,5664,18434,87720,9971,917187,1053,107870,7688,164732,32039,993616,437,35225,2234,29004,811,19744,841179,1517,320188,2110,13539,536,647,410,839,6891,50324,3557,155199,14682,8304,53086,9688,148301,186403,3841,3281,14873,3049,26,172580,942,19525,9803,1313,2131,6289,195,1687,4142,1455,3327,686,53,115307,5725,60290,20735,8875,19044,58904,39499,538,880,1770,250,1407,465,6012,16567,4403,609,6412,186,6165,2960565,"Virginia",20821,2354,874,178,12713,4229,1466,923,557,1682,1343,632,639,1904,1730,1082,253,489,1300,131,838,977,2544,446,413,1601,76,556,889,109,1875,743,1437,3322,1081,9815,364,4188,1122,4261,2005,10886,200,2296,582,1699,357,2333,9302,475,6944,535,1536,220,352,232,337,907,2672,769,5057,1600,1049,2618,985,3960,4985,783,591,1398,692,31,7175,426,2620,2134,593,1106,1504,226,870,1607,392,1378,613,85,7103,1573,2768,1507,1679,1365,3097,4129,331,353,884,183,565,226,1477,3171,1290,342,1404,167,1383,16265
"G530","2008-2010",,,"Washington","53",,,,,,,,,,,,,,,,,,"Washington",8229488,878,838,131,268379,21852,3210,833,806,7557,676,1401,2021,3085,2263,6226,317,4785,19499,2496,8470,3271,42900,3560,969,32018,63,2819,13689,71,31141,8216,72082,160211,8300,779179,1675,145191,48499,249330,53716,1328553,606,24748,169,24016,6697,10168,810531,1412,238942,3574,10810,1660,253,499,895,21202,389982,3249,127291,22890,17083,86736,47937,100009,210845,2251,3782,5999,2501,72,57298,213,13434,755,2748,4,2553,59,75,9341,1479,399,260,72,23385,2521,241920,37728,5406,51538,70985,9958,91,371,582,26,231,334,1534,4629,765,47,1318,30,12287,2246235,"Washington",18901,492,366,131,6151,2386,1003,417,582,1053,313,701,666,880,734,1078,192,768,1486,472,949,764,2122,828,305,2594,59,559,1165,107,1631,1217,3050,4776,1146,9006,517,5293,2648,6390,2999,12901,207,1931,101,1865,1125,1660,9241,517,6518,702,1441,596,138,436,416,1640,8774,541,4292,1685,2073,4836,2404,3349,5201,542,652,821,449,116,3934,181,2257,367,910,8,1028,97,72,2278,514,328,191,66,2491,704,6685,1954,1202,3595,3224,1452,79,316,453,40,163,183,554,1014,394,77,564,37,1456,11719
"G540","2008-2010",,,"West Virginia","54",,,,,,,,,,,,,,,,,,"West Virginia",1809382,0,15,29,225485,5909,383,28,36,2918,69,93,983,499,900,317,35,122,2068,48,1283,129,4059,149,140,1078,0,195,2630,34,3532,1426,1674,44365,561,219561,28,11844,952,31439,3351,360156,60,5358,80,10577,7,228,285268,55,86448,192,2009,26,68,40,16,477,3895,1154,33734,794,798,6416,990,42211,39277,1577,1272,4176,513,0,4014,28,242,14,272,70,120,0,0,0,6,0,20,0,3067,175,8260,3904,793,1905,14127,1746,33,0,17,29,88,625,17,776,39,21,101,0,934,323369,"West Virginia",12190,154,24,40,6155,1022,283,46,57,545,57,84,406,268,444,217,42,89,479,57,355,79,620,113,111,294,154,151,664,53,523,404,479,2249,223,5086,34,1509,396,1780,812,6905,59,919,73,1265,10,120,5708,53,3717,157,538,36,56,48,25,186,740,401,2055,261,295,1036,276,2487,2733,474,392,718,248,154,668,35,202,26,255,120,81,154,154,154,9,154,33,154,522,134,1003,577,523,564,1311,484,40,154,29,47,116,258,27,340,49,34,85,154,273,6216
"G550","2008-2010",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,"Wisconsin",7315160,15,2623,252,166364,11616,677,146,622,3413,659,1390,1137,1882,1690,3411,97,1504,27441,189,58592,1441,11409,926,152,7065,61,364,15636,69,98667,9328,66439,151337,2934,364154,472,45581,40320,207660,58444,2471901,989,19772,12,26629,740,1435,656467,595,205328,2796,14957,6425,327,76,243,4476,455790,8791,528659,3002,4750,40416,20024,26564,64205,8725,3051,13368,9141,20,26718,8,599,551,283,438,1606,20,10,895,645,257,43,45,20737,581,155330,59311,1448,9386,28234,5233,130,175,273,8,230,318,746,2812,80,22,439,0,6071,1069192,"Wisconsin",16020,25,708,96,4497,1880,276,153,476,710,369,746,354,495,654,685,83,339,1438,100,2105,379,1079,305,99,767,46,156,1353,61,2908,930,2788,3341,504,5414,173,2735,1962,4373,2576,11884,525,1608,13,1957,245,443,8887,275,5458,603,958,661,183,61,147,791,6879,1253,6537,670,759,2048,1533,1431,2319,1299,466,1240,1291,27,2343,12,222,454,299,283,568,31,12,582,268,278,51,57,2232,279,3723,2179,483,924,1560,1104,124,119,201,12,169,278,380,754,66,35,211,123,890,6784
"G560","2008-2010",,,"Wyoming","56",,,,,,,,,,,,,,,,,,"Wyoming",694922,5,18,0,40055,619,25,0,65,382,0,17,130,0,0,102,42,228,1277,1484,724,38,1563,219,44,752,0,296,366,0,5034,839,10747,13009,224,86515,105,8748,2522,18955,2955,156236,66,2377,0,1991,345,184,82825,90,19145,31,403,52,0,0,71,860,19176,489,12051,1358,239,4793,2738,9601,21528,148,589,593,381,0,244,0,0,0,0,0,10,0,0,0,65,0,0,0,169,0,18743,3579,369,711,6209,135,0,3,0,0,0,0,0,88,0,0,44,0,678,128409,"Wyoming",5994,8,24,154,2731,286,41,154,104,211,154,29,149,154,154,90,61,161,357,614,260,59,346,204,51,240,154,172,167,154,786,330,1096,1200,129,3038,84,1243,645,1466,538,3791,73,585,154,492,260,186,3582,142,1768,35,177,55,154,154,77,308,1679,215,1364,526,134,749,624,1081,1840,87,271,262,185,154,179,154,154,154,154,154,19,154,154,154,102,154,154,154,128,154,1473,750,555,259,805,90,154,5,154,154,154,154,154,79,154,154,54,154,202,2912
"G720","2008-2010",,,"Puerto Rico","72",,,,,,,,,,,,,,,,,,"Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
