GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IIME001,IIME002,IIME003,IIME004,IIME005,IIME006,IIME007,IIME008,IIME009,IIME010,IIME011,IIME012,IIME013,IIME014,IIME015,IIME016,IIME017,IIME018,IIME019,IIME020,IIME021,IIME022,IIME023,IIME024,IIME025,IIME026,IIME027,IIME028,IIME029,IIME030,IIME031,IIME032,IIME033,IIME034,IIME035,IIME036,IIME037,IIME038,IIME039,IIME040,IIME041,IIME042,IIME043,IIME044,IIME045,IIME046,IIME047,IIME048,IIME049,IIME050,IIME051,IIME052,IIME053,IIME054,IIME055,IIME056,IIME057,IIME058,IIME059,IIME060,IIME061,IIME062,IIME063,IIME064,IIME065,IIME066,IIME067,IIME068,IIME069,IIME070,IIME071,IIME072,IIME073,IIME074,IIME075,IIME076,IIME077,IIME078,IIME079,IIME080,IIME081,IIME082,IIME083,IIME084,IIME085,IIME086,IIME087,IIME088,IIME089,IIME090,IIME091,IIME092,IIME093,IIME094,IIME095,IIME096,IIME097,IIME098,IIME099,IIME100,IIME101,IIME102,IIME103,IIME104,IIME105,IIME106,IIME107,IIME108,NAME_M,IIMM001,IIMM002,IIMM003,IIMM004,IIMM005,IIMM006,IIMM007,IIMM008,IIMM009,IIMM010,IIMM011,IIMM012,IIMM013,IIMM014,IIMM015,IIMM016,IIMM017,IIMM018,IIMM019,IIMM020,IIMM021,IIMM022,IIMM023,IIMM024,IIMM025,IIMM026,IIMM027,IIMM028,IIMM029,IIMM030,IIMM031,IIMM032,IIMM033,IIMM034,IIMM035,IIMM036,IIMM037,IIMM038,IIMM039,IIMM040,IIMM041,IIMM042,IIMM043,IIMM044,IIMM045,IIMM046,IIMM047,IIMM048,IIMM049,IIMM050,IIMM051,IIMM052,IIMM053,IIMM054,IIMM055,IIMM056,IIMM057,IIMM058,IIMM059,IIMM060,IIMM061,IIMM062,IIMM063,IIMM064,IIMM065,IIMM066,IIMM067,IIMM068,IIMM069,IIMM070,IIMM071,IIMM072,IIMM073,IIMM074,IIMM075,IIMM076,IIMM077,IIMM078,IIMM079,IIMM080,IIMM081,IIMM082,IIMM083,IIMM084,IIMM085,IIMM086,IIMM087,IIMM088,IIMM089,IIMM090,IIMM091,IIMM092,IIMM093,IIMM094,IIMM095,IIMM096,IIMM097,IIMM098,IIMM099,IIMM100,IIMM101,IIMM102,IIMM103,IIMM104,IIMM105,IIMM106,IIMM107,IIMM108
"G450","2010",,,"South Carolina","45",,,,,,,,,,,,,,,,,,"South Carolina",4710657,0,834,216,609081,9166,2044,86,341,3615,113,29,905,434,1599,647,0,405,5102,0,2426,2179,18468,767,706,8052,0,1131,2305,0,8388,2859,6652,44790,2087,408649,45,38441,3931,88763,13537,471137,102,15916,320,10995,201,2112,449705,391,126562,477,3351,0,171,285,77,2605,17813,899,62440,5789,4653,14227,3507,113008,98837,2208,799,4612,1286,74,27616,65,411,304,923,607,980,272,38,777,605,50,93,0,22184,307,21607,8071,1804,6725,21584,10865,1382,194,315,257,279,206,1591,3901,539,93,2054,54,1164,1917035,"South Carolina",29515,296,545,337,19953,2104,1356,143,437,1021,112,48,367,323,1177,309,296,330,1250,296,1288,1185,2339,631,757,1714,296,721,960,296,1788,1230,1726,4291,951,11116,73,4435,1608,6082,2781,15657,173,2467,298,1987,190,1243,15580,416,9411,291,1103,296,167,395,126,943,3001,465,5412,1518,2382,2921,1072,7635,6246,1600,489,1403,637,128,4631,104,427,255,848,737,780,418,64,1195,524,84,163,296,3961,261,2731,1574,976,2042,3176,2667,964,211,324,407,276,256,1158,1537,530,110,1108,89,501,19335
"G460","2010",,,"South Dakota","46",,,,,,,,,,,,,,,,,,"South Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","2010",,,"Tennessee","47",,,,,,,,,,,,,,,,,,"Tennessee",6341988,0,644,0,1087397,26057,4829,3270,536,5426,140,1271,727,4615,5243,1012,0,1302,5684,130,1825,1783,27319,402,1396,6573,162,917,1928,0,11377,1873,11081,77992,3534,639228,53,65819,4182,110157,14164,646007,72,11444,631,11705,247,3959,707732,923,135235,684,5593,109,192,185,234,2270,26834,2079,62616,5650,6452,17993,5840,153073,137231,1013,2213,3396,1191,130,57362,56,5029,77,265,0,4861,140,0,4158,707,640,0,272,37956,3201,35002,8887,1417,6263,33646,6130,187,0,169,0,0,1006,2178,2021,335,0,186,48,3527,2132830,"Tennessee",38709,287,616,287,22499,4868,1653,2148,503,2817,168,1033,609,1628,1950,700,287,956,1590,117,598,900,4364,413,920,1569,264,685,855,287,2285,781,2624,5511,1059,17981,96,5861,1336,7379,2122,18749,119,2572,553,2291,227,1871,18829,776,8927,360,2209,130,296,213,275,907,3324,1425,5270,1761,3433,3053,1753,8585,7169,541,1458,1039,812,207,7927,96,2778,129,262,287,2795,170,287,2311,463,767,287,451,6562,2078,4126,1730,895,1968,3669,1695,234,287,284,287,287,497,1237,811,284,287,249,82,1255,22313
"G480","2010",,,"Texas","48",,,,,,,,,,,,,,,,,,"Texas",27120039,2933,5302,2399,1329129,105302,7244,7175,8727,32277,1209,6483,8048,19680,14459,5421,507,4582,23989,2283,11073,15090,86053,3232,19648,32042,178,4056,9716,53,203566,20467,48220,224491,10869,1686422,513,214441,14652,544476,73483,2630120,734,42756,1444,39708,1547,35887,1886844,8092,468956,2937,13548,529,720,648,1900,12293,126355,6286,271559,28788,14733,80082,26382,287393,369161,2610,3345,8927,3613,0,219051,1419,14513,4865,7605,725,43969,545,1377,1370,3892,1019,231,627,127222,9672,151418,30723,11970,18250,96675,66705,464,2097,6644,607,1493,13084,6251,23284,4526,186,7479,590,11735,15431027,"Texas",62324,2309,3373,890,27087,10487,2250,3029,3436,4984,731,1979,2593,4424,3695,1858,377,1712,3156,1070,1804,3246,5945,1176,2892,4493,212,1308,2583,87,9595,2741,5050,9727,2258,30478,347,11162,2190,15883,6385,33205,421,4352,845,5433,910,5964,29404,4660,20146,987,2014,322,694,435,1125,2783,6853,1936,12547,4294,2954,6184,5007,10783,14626,1159,986,1542,910,294,15252,1101,4161,2525,2851,591,7850,579,1906,1243,1291,755,220,611,12163,3351,9003,3827,2715,2850,5159,7094,471,1138,4024,493,725,2181,2483,4148,1765,178,2267,532,3343,47662
"G490","2010",,,"Utah","49",,,,,,,,,,,,,,,,,,"Utah",3278234,0,160,46,155681,5539,53,426,693,1852,14,97,669,993,742,1688,0,2828,5999,1471,2558,5179,34620,681,323,10978,0,657,2684,0,7557,1370,154318,70028,1174,712373,725,126815,5055,51807,5395,326388,0,13052,0,3349,3784,1093,166102,379,74159,0,2108,118,0,177,597,6233,67955,305,25146,3616,2388,9472,34339,17186,128678,1764,639,1105,876,0,9362,106,212,381,168,452,0,0,410,3584,458,171,0,61,2964,395,108335,33422,1492,3551,57205,1675,322,0,0,0,14,37,292,417,0,0,593,0,5745,798730,"Utah",24825,267,267,77,9779,1700,90,556,674,793,26,131,449,651,992,1298,267,1316,1767,883,1258,2289,4670,410,500,2270,267,688,1211,267,2223,643,8836,5892,586,17137,1164,7814,1586,5276,1209,12361,267,2736,267,939,1219,733,9530,377,5446,267,907,137,267,291,587,1819,5774,255,3346,1264,1070,2267,5155,2914,7791,1520,445,595,651,267,3027,167,281,512,273,596,267,267,579,2831,492,224,267,109,1319,417,7670,4176,1360,1244,4512,830,303,267,267,267,26,61,211,360,267,267,561,267,2014,14103
"G500","2010",,,"Vermont","50",,,,,,,,,,,,,,,,,,"Vermont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","2010",,,"Virginia","51",,,,,,,,,,,,,,,,,,"Virginia",8755503,10191,2925,179,884916,61222,8827,2576,860,16194,7280,1019,3128,10641,10697,4746,283,2232,16914,297,4188,5077,53508,1583,927,13606,121,1833,4541,192,27311,4722,15471,84589,12074,897871,855,122327,6723,153907,33553,980780,630,34097,3819,29621,599,19886,804376,1504,307135,1896,11311,241,837,381,454,7373,50128,2906,151136,14067,8547,53624,10947,140769,170360,4489,3696,14237,2482,0,174069,448,20314,10742,1986,1773,6181,121,2553,6925,1512,2929,1700,0,111663,5222,62330,21297,10654,16895,57312,40172,631,918,1932,245,2170,285,6780,16352,4614,415,5830,0,7214,3104348,"Virginia",42843,3018,1493,178,24260,6986,2669,2571,731,2814,3020,527,1488,3559,3283,1409,455,929,2670,299,1022,1767,4944,793,666,1984,143,806,1176,181,3669,1293,2340,5647,2498,18194,522,8528,1392,7897,3987,18497,551,3957,1617,3481,417,4774,17164,615,12700,701,2070,201,704,417,345,1664,4663,1104,7238,2555,2379,4662,2554,6824,8443,1585,1199,2410,1028,287,11939,361,4582,3570,1296,986,2540,201,1977,4006,661,1924,1675,287,10354,2239,5600,3472,3113,2762,4942,6192,517,600,1115,354,1211,293,2643,3355,2525,366,2184,287,2070,31013
"G530","2010",,,"Washington","53",,,,,,,,,,,,,,,,,,"Washington",8269321,591,528,0,309150,28034,2790,798,2220,9595,835,1564,3031,4493,2708,6080,350,5334,20580,2270,6484,2123,42472,4285,938,35920,0,1762,13576,0,29168,9604,70753,156171,9168,751524,782,157061,43673,239148,53435,1311426,553,22455,117,23416,3953,10456,785664,927,246141,2327,9411,1068,94,813,1094,25475,371901,2740,129037,22440,15293,85196,49018,93747,200085,2840,3954,5785,2769,0,56949,268,14632,1435,2810,0,3755,0,0,11234,1608,667,264,177,16759,3340,229241,36422,6990,55698,66315,8766,122,158,805,68,183,394,1330,3406,557,0,1743,0,13368,2364413,"Washington",34065,608,612,277,12715,4484,1433,580,2027,2103,685,1442,1684,2219,1268,1797,440,1255,2376,845,1205,951,4558,1616,485,4981,277,719,2283,277,3415,2394,5651,8610,2229,15574,446,8606,5602,9043,5903,24383,365,3134,147,3001,928,2784,17692,662,11052,783,1688,614,116,1262,584,3826,11070,1002,7941,3179,3170,5281,4626,5505,7420,1285,1288,1296,971,277,7049,296,4129,886,1762,277,2040,277,277,3549,737,649,321,165,3831,1446,10861,3628,2463,7583,5690,2250,146,139,1212,113,193,337,657,1211,443,277,1056,277,2363,24262
"G540","2010",,,"West Virginia","54",,,,,,,,,,,,,,,,,,"West Virginia",1765242,0,0,31,232119,6672,807,0,167,3124,48,118,470,655,1283,187,0,35,2152,69,1791,169,3955,126,367,2129,0,329,1436,0,3455,1767,1306,45323,195,205530,0,14793,937,29068,3354,335477,116,5450,97,11106,12,180,267713,153,85848,110,2110,55,110,0,56,422,3357,673,34292,389,594,6622,868,39648,42349,1465,1723,4348,615,0,4994,0,133,52,205,129,312,0,0,0,0,0,0,0,4093,70,6984,3370,696,2283,13637,1555,48,0,0,88,206,450,0,677,0,0,86,0,759,327711,"West Virginia",23602,269,269,55,10476,1881,720,269,267,1052,80,142,339,448,1091,243,269,62,992,111,747,157,1521,186,377,895,269,323,701,269,1288,784,579,4514,144,8268,269,2705,737,3302,1155,9445,147,1577,160,2744,22,194,10617,168,7276,159,967,101,129,269,98,275,956,396,3547,339,459,1723,472,4765,4425,818,815,1279,575,269,1350,269,157,98,199,222,281,269,269,269,269,269,269,269,1369,115,1600,921,738,1075,2434,730,84,269,269,143,265,409,269,438,269,269,140,269,526,9078
"G550","2010",,,"Wisconsin","55",,,,,,,,,,,,,,,,,,"Wisconsin",7297721,0,2932,178,185663,11781,701,147,56,2893,606,832,1390,2471,2685,4024,203,1327,27878,128,51662,2168,11818,813,78,7054,95,479,17298,149,91675,8765,66590,141569,3295,354511,702,53685,37576,201265,57816,2438189,1131,19237,23,24434,883,2261,651840,578,210950,2696,15325,5496,265,105,217,5014,444753,8022,526146,2605,5717,39003,18348,25695,63082,8375,3286,13432,8663,47,25553,0,378,459,617,529,2597,56,0,549,773,248,0,0,18964,383,143740,60889,1697,9796,25833,5623,312,176,274,0,31,656,1146,2330,93,0,605,0,6801,1128794,"Wisconsin",32526,218,1051,148,7451,2296,638,157,97,1062,480,689,676,1267,1441,1555,244,458,2969,139,3842,919,1760,382,108,1498,118,375,2685,178,4840,1634,4448,6080,995,11714,472,5278,3444,8179,4508,20352,1051,3067,43,2996,510,974,15441,402,9548,821,2152,909,200,124,243,1394,11028,2649,11885,1323,1576,2855,2496,2591,3806,1799,816,1924,1815,76,4662,218,260,520,896,589,1362,93,218,645,678,390,218,218,4265,336,6656,4227,1061,1653,2021,1631,475,229,432,218,49,698,756,917,113,218,406,218,1994,13203
