GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,TRACTA,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URB_AREAA,ANPSADPI,E8M001,E8M002,E8M003,E8M004,E8M005,E8M006,E8M007,E8M008,E8M009,E8M010,E8M011,E8M012,E8M013,E8M014,E8M015,E8M016,E8M017,E8M018,E8M019,E8M020,E8M021,E8M022,E8M023,E8M024,E8M025,E8M026,E8M027,E8M028,E8M029,E8M030,E8M031,E8M032,E8M033,E8M034,E8M035,E8M036,E8M037,E8M038,E8M039,E8M040,E8M041,E8M042,E8M043,E8M044,E8M045,E8M046,E8M047,E8M048,E8M049,E8M050,E8M051,E8M052,E8M053,E8M054,E8M055,E8M056,E8M057,E8M058,E8M059,E8M060,E8M061,E8M062,E8M063,E8M064,E8M065,E8M066,E8M067,E8M068,E8M069,E8M070,E8M071,E8M072,E8M073,E8M074,E8M075,E8M076,E8M077,E8M078,E8M079,E8M080,E8M081,E8M082,E8M083,E8M084,E8M085,E8M086,E8M087,E8M088,E8M089,E8M090,E8M091,E8M092,E8M093,E8M094,E8M095,E8M096,E8M097,E8M098,E8M099,E8M100,E8M101,E8M102,E8M103,E8M104,E8M105,E8M106
"G400","1990",,,,,,,,,"7",,,,"3","Oklahoma","40",,"Oklahoma",3087,5,35,269,66,142,3714,52,174,633,649,259,301,10,334,2154,92,1197,207,8750,210,1511,6,146,0,2216,10331,2990,6186,73395,69,304582,35,4873,1291,69989,8040,566207,174,3246,62,2350,84,2226,366621,143,30149,215,1349,145,27,47,25,503,10972,1383,19476,1707,437,4793,3037,75991,36945,107,168,3890,147,9,13,95,215,7,49,1083,0,0,30,43,0,0,8,0,1457,93,19269,4381,390,1390,266388,11790,68,20,18,0,30,12133,196,281,161,25,314,22,493,646348,35343,502797
"G410","1990",,,,,,,,,"9",,,,"4","Oregon","41",,"Oregon",742,132,168,248,96,43,1963,117,287,926,793,512,1058,64,913,5862,1677,3108,329,14246,617,6646,2,736,6,2944,9665,4035,30340,63474,753,367884,495,15668,16697,88577,20291,674023,108,6682,60,6861,839,2107,252611,183,57388,931,2955,441,99,56,185,2696,83574,2348,30940,7743,3353,18776,20685,69635,66685,362,573,5753,193,12,16,327,24,109,9,432,0,10,8,116,0,10,37,0,950,110,79319,19088,474,4616,103352,20214,43,26,11,11,9,281,138,204,4,17,213,25,3636,238598,75060,313853
"G420","1990",,,,,,,,,"2",,,,"1","Pennsylvania","42",,"Pennsylvania",1266,1889,261,1938,276,404,14269,883,741,9248,2306,733,5744,272,966,43549,213,6933,1218,26444,677,6956,3374,693,129,55117,16462,11894,11941,172084,8449,749786,587,10272,5471,135913,21027,3485436,310,44265,556,92006,349,2929,1269637,2299,1047893,3619,66899,240,553,280,129,1138,18777,125544,632518,9209,10447,156394,4682,195220,132813,14765,4871,295843,10559,353,212,572,400,76,354,1897,11,194,9,606,168,48,75,42,7737,687,73648,40610,1904,89780,309814,109613,218,715,160,194,561,111,2077,9164,1410,61,2843,36,6909,1161853,184851,911105
"G440","1990",,,,,,,,,"1",,,,"1","Rhode Island","44",,"Rhode Island",79,203,43,275,9,78,1841,22,33,1938,248,44,5159,57,137,1692,12,772,445,2534,98,3843,0,68,0,428,647,441,1202,3718,491,104224,45,1010,937,92747,64673,48445,0,4724,51,1640,140,318,140593,194,164509,274,2729,37,57,72,0,161,2314,121,31298,76773,606,8930,690,9019,13875,0,108,1441,48,65,9457,37,60,0,585,487,34,0,0,14,0,5,0,0,1144,65,14056,807,276,2387,20994,1501,5,72,23,37,77,10,895,467,136,6,243,0,151,63926,21553,64529
"G450","1990",,,,,,,,,"5",,,,"3","South Carolina","45",,"South Carolina",4553,44,49,254,11,115,3119,160,140,408,468,63,279,40,258,2179,48,970,250,12582,94,2137,0,170,29,4213,1989,809,3264,33683,340,334658,189,4811,1276,55972,8258,402001,67,6771,54,4071,103,547,312989,170,39664,200,1760,96,18,64,17,406,5473,656,19997,1578,488,4203,2890,138010,54375,192,228,4390,235,18,51,117,103,0,20,1558,30,0,0,142,45,90,8,0,3176,28,11389,3773,666,1450,363795,10009,115,75,50,37,50,116,217,953,181,47,643,12,564,993998,25927,587655
"G460","1990",,,,,,,,,"4",,,,"2","South Dakota","46",,"South Dakota",39,0,1,63,32,16,543,0,24,221,15,61,64,26,70,867,20,930,4,798,71,242,0,40,7,178,12226,1079,13906,22698,14,38052,8,897,2376,12102,1960,302793,37,621,0,662,110,138,41764,2,3706,91,154,762,9,19,42,795,73355,491,5411,329,168,2047,5929,6697,4504,22,15,1152,14,0,0,104,0,0,0,79,0,0,16,0,0,0,0,0,111,0,18357,1771,60,274,12546,1939,0,8,0,0,2,24,8,29,10,0,7,0,231,51003,3725,44211
"G470","1990",,,,,,,,,"6",,,,"3","Tennessee","47",,"Tennessee",4597,120,107,414,127,203,2244,18,454,455,930,520,412,107,316,2071,68,1314,181,19387,122,2544,0,379,29,4123,2848,1213,4550,75611,486,537164,78,7796,1508,72449,8881,577416,45,5832,64,4631,138,1820,572286,212,51197,424,2077,73,15,67,33,776,7766,899,23026,1155,917,7182,3042,169151,69514,263,117,4713,197,20,76,267,76,54,87,1068,0,24,7,140,0,0,0,12,2703,70,17328,6364,453,1407,681522,17591,230,18,6,29,73,1189,139,1014,144,49,467,33,450,931628,36477,917096
"G480","1990",,,,,,,,,"7",,,,"3","Texas","48",,"Texas",85543,435,1810,2929,450,1402,17802,442,2781,3984,6077,1638,2525,387,1949,14449,1042,7174,1804,59563,585,11726,41,1639,76,13662,116578,20244,29455,180542,1932,1434140,495,22474,8531,347231,47492,2355878,320,24844,844,19874,823,12704,1386661,1690,217518,1647,8781,406,178,510,205,2742,61134,2676,161906,9123,4894,37180,15007,401551,197286,1616,1416,32605,1258,109,249,2818,916,531,352,12664,12,402,192,1451,92,117,26,236,12753,691,97893,19341,2536,8934,940616,52215,304,399,742,107,906,8972,1474,6830,1889,403,3819,86,3254,6319736,327491,1740646
"G490","1990",,,,,,,,,"8",,,,"4","Utah","49",,"Utah",439,128,9,86,43,56,1143,42,105,245,338,73,632,5,906,2428,1186,713,299,19845,158,3139,0,183,0,1225,1955,793,97840,34509,152,584412,68,11530,2401,29449,4162,211543,24,8628,0,1765,1625,1318,71738,104,31089,129,650,32,0,41,248,935,21728,214,9342,1362,476,2542,21951,16255,48569,160,205,2784,204,8,14,0,11,0,0,234,0,0,21,64,17,8,0,7,405,19,61781,18917,209,625,57268,22573,3,12,6,8,22,40,44,85,6,0,59,0,2206,126735,35719,139366
"G500","1990",,,,,,,,,"1",,,,"1","Vermont","50",,"Vermont",43,79,6,39,0,0,893,5,4,110,35,31,321,4,72,1273,2,264,52,2265,23,2889,0,113,10,172,872,444,1534,5648,508,105185,81,1999,1492,104073,29410,40041,0,1325,2,1830,33,107,62842,48,22877,118,1167,0,34,40,21,447,2239,122,12237,1271,230,3894,665,9118,19072,36,150,1093,20,26,19,0,4,0,2,13,0,0,0,0,0,0,0,0,170,5,6354,1137,58,581,32133,4061,2,0,0,7,0,0,64,96,17,0,29,0,148,19289,5170,52343
"G510","1990",,,,,,,,,"5",,,,"3","Virginia","51",,"Virginia",3758,378,271,2284,509,623,8691,908,2056,1672,3732,1112,3446,184,1112,9423,327,3152,1135,39860,279,6187,88,956,225,5738,7790,3706,11155,64943,2464,777357,357,14120,4507,106539,25928,920112,283,19799,628,15630,637,9473,531225,697,145753,1268,8725,319,120,238,277,1608,23173,2346,75449,7630,2672,29360,7216,154148,105196,1166,828,19373,658,113,320,2918,1048,162,382,2071,6,405,175,396,290,92,25,25,6595,491,34067,11630,2226,8285,578291,29795,218,258,67,211,220,167,1173,4457,656,204,2278,73,1648,1261628,171533,859780
"G530","1990",,,,,,,,,"9",,,,"4","Washington","53",,"Washington",2004,180,200,521,129,221,2879,78,428,715,1513,563,1741,177,1365,11374,1321,4850,475,26292,687,14393,41,955,50,8135,13894,5782,50343,101194,1061,561397,980,22776,31388,145130,37658,1053459,571,14109,139,10403,4168,3303,415552,395,108796,2332,5627,698,141,134,268,5714,232000,2865,61202,8602,3379,25127,47964,111902,110840,1067,1359,11834,768,101,28,1258,166,72,0,698,43,39,29,170,49,37,0,29,2593,244,166984,21984,1231,7679,171350,33446,89,50,40,99,113,179,200,1269,135,49,610,23,8872,461121,222633,465372
"G540","1990",,,,,,,,,"5",,,,"3","West Virginia","54",,"West Virginia",316,12,26,106,12,8,3353,5,76,666,199,66,119,20,152,1353,3,776,53,5562,130,716,46,183,0,3384,1053,652,669,39132,69,197483,14,1451,282,25079,2605,376655,15,3613,0,6346,73,348,198509,33,54112,124,1401,4,27,7,8,139,1580,670,22049,319,415,3198,640,44114,22160,961,135,7220,193,6,0,0,5,0,0,247,0,6,0,6,0,0,0,0,392,18,4085,2287,289,985,268036,9421,0,14,7,11,2,124,58,241,0,0,37,0,653,128439,9460,337749
"G550","1990",,,,,,,,,"3",,,,"2","Wisconsin","55",,"Wisconsin",429,633,212,380,3,177,1953,111,698,492,995,277,2203,73,449,14059,81,36822,183,6501,353,2649,7,150,8,14334,53252,6603,42955,86556,868,211729,240,5168,23288,110871,33520,2209701,343,10382,83,13577,431,1176,281159,320,96719,2507,10295,4269,180,142,37,838,257345,1937,325320,1104,1421,18251,17234,27084,29922,4391,1390,26263,4353,19,10,176,71,13,40,1005,0,20,109,64,65,29,9,0,1672,136,88121,36281,480,4479,76673,13415,57,37,15,39,35,55,68,1313,122,29,194,30,4198,341293,58228,255713
"G560","1990",,,,,,,,,"8",,,,"4","Wyoming","56",,"Wyoming",306,0,0,0,0,0,125,0,3,45,28,18,40,0,113,1266,520,621,8,1532,146,362,0,11,0,416,2144,643,6943,7897,3,67261,26,1898,1506,11786,2000,124174,18,1342,0,931,31,61,37822,6,8526,104,226,56,13,9,3,260,11665,545,6530,643,79,1486,2841,11192,10674,74,226,1824,215,0,0,6,0,0,0,56,0,0,0,0,8,0,0,0,85,0,12767,2056,26,288,18105,3180,0,0,0,0,0,24,0,20,0,0,12,0,679,42170,3556,41307
